scaler,method,k,n_components,n_neighbors,min_dist,metric,min_cluster_size,min_samples,selection_method,bic,aic,silhouette,calinski_harabasz,davies_bouldin
Quantile (uniform),HDBSCAN,39,5,8,0.1,correlation,10,20,eom,,,0.5587674975395203,1061.31689453125,0.749539220562406
Quantile (uniform),HDBSCAN,43,5,8,0.1,correlation,10,20,leaf,,,0.5894877910614014,1013.1431884765625,0.717334149468895
Quantile (uniform),HDBSCAN,28,5,8,0.1,correlation,30,15,eom,,,0.45859336853027344,975.1974487304688,0.9139094700009133
Quantile (uniform),HDBSCAN,30,5,8,0.1,correlation,30,15,leaf,,,0.5057260394096375,1071.103515625,0.8886622115844138
Quantile (uniform),HDBSCAN,23,5,8,0.1,correlation,30,20,eom,,,0.4509858787059784,1115.4385986328125,0.929822535841044
Quantile (uniform),HDBSCAN,24,5,8,0.1,correlation,30,20,leaf,,,0.481245219707489,1111.134521484375,0.8964150895953823
Quantile (uniform),HDBSCAN,54,5,8,0.1,euclidean,10,15,eom,,,0.6496909260749817,2223.5009765625,0.40541024759675337
Quantile (uniform),HDBSCAN,74,5,8,0.1,euclidean,10,15,leaf,,,0.7222484946250916,6049.896484375,0.3801417636841181
Quantile (uniform),HDBSCAN,32,5,8,0.1,euclidean,10,20,eom,,,0.581681489944458,1729.873046875,0.46781590415376706
Quantile (uniform),HDBSCAN,44,5,8,0.1,euclidean,10,20,leaf,,,0.6721052527427673,2829.649169921875,0.4543203441212586
Quantile (uniform),HDBSCAN,18,5,8,0.1,euclidean,30,15,eom,,,0.4600940942764282,1462.7723388671875,0.751841901707889
Quantile (uniform),HDBSCAN,31,5,8,0.1,euclidean,30,15,leaf,,,0.5796011686325073,2512.904052734375,0.613041620140267
Quantile (uniform),HDBSCAN,13,5,8,0.1,euclidean,30,20,eom,,,0.41544657945632935,1222.126953125,0.8028952732941377
Quantile (uniform),HDBSCAN,25,5,8,0.1,euclidean,30,20,leaf,,,0.566243588924408,1941.8763427734375,0.6407407975312984
Quantile (uniform),HDBSCAN,52,5,8,0.2,correlation,10,15,eom,,,0.5688076019287109,821.525146484375,0.6703697136211579
